"cell_type","replicate","stim_type","stim_level","stim_unit","time","merged_nuclei","nuclearity","response"
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6879
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.1403
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.2087
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1117
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7413
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",7.4953
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9053
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.4807
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.79
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.388
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7789
